id;actual;declared;union;intersection;undeclared;unused
fjoaledfpmneenckfbpdfhkmimnjocfa.crx;3;8;8;3;0;5
fkepacicchenbjecpbpbclokcabebhah.crx;2;4;4;2;0;2
fkfcmeoepjhclglafbppmeidjjolcgid.crx;5;12;13;4;1;8
fldkdmkgnlbehfgeifjpjabmandnchpe.crx;0;2;2;0;0;2
fllaojicojecljbmefodhfapmkghcbnh.crx;0;0;0;0;0;0
flliilndjeohchalpbbcdekjklbdgfkk.crx;5;7;8;4;1;3
floipahigmmkfhkoapmnijnlnboniglg.crx;0;1;1;0;0;1
fmigejbpbkpaahgimefkeocnfjhkfjpa.crx;0;0;0;0;0;0
fmkadmapgofadopljbjfkapdkoienihi.crx;0;1;1;0;0;1
fnbdnhhicmebfgdgglcdacdapkcihcoh.crx;4;10;10;4;0;6
fngmhnnpilhplaeedifhccceomclgfbg.crx;3;8;8;3;0;5
foocpcikeakahdlplgpgfoilanoajijf.crx;0;3;3;0;0;3
fpcglidohpgnccfckgbgnflcbdmlcibj.crx;1;3;3;1;0;2
fpdnjdlbdmifoocedhkighhlbchbiikl.crx;3;7;7;3;0;4
fpeepicldbpmefboahpolegllmiglnai.crx;5;12;13;4;1;8
fpfgeeomkfdefkckijiabdbogjkdaecd.crx;1;6;6;1;0;5
fpkknkljclfencbdbgkenhalefipecmb.crx;2;5;5;2;0;3
fploionmjgeclbkemipmkogoaohcdbig.crx;1;3;3;1;0;2
gaonpiemcjiihedemhopdoefaohcjoch.crx;3;3;3;3;0;0
gbammbheopgpmaagmckhpjbfgdfkpadb.crx;0;1;1;0;0;1
gbiekjoijknlhijdjbaadobpkdhmoebb.crx;1;1;1;1;0;0
gbilbeoogenjmnabenfjfoockmpfnjoh.crx;1;3;3;1;0;2
